Title,Category,Sub Category,Price,Quantity,Images
"4K Digital Camera for Photography Autofocus, Upgraded 48MP Vlogging Camera for YouTube with SD Card, 3"" 180 Flip Screen Compact Travel Camera with 16X Digital Zoom, Flash, Anti-Shake, 2 Batteries",Electronics,Cameras and photography equipment,109.63,656,"https://m.media-amazon.com/images/I/81768oYBydL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/717TTQPaHiL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81iF9sySByL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81gtRHAHOpL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81cDcuwZq4L._AC_SX466_.jpg"
"2PCS 4MP Solar Security Camera Wireless Outdoor, 2.5K Solar/Battery Powered Camera for Home Security, Pan/Tilt 2.4Ghz WiFi Camera with PIR, 2-Way Audio, Cloud/SD, Color Night Vision",Electronics,Cameras and photography equipment,149.99,6865,"https://m.media-amazon.com/images/I/61KB1WD5pjL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71MVVkwtlwL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71F2cdWJeYL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71MzbZvPsiL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71dq+uFM5dL._AC_SX466_.jpg"
"Indoor Security Camera, 2K Pet Camera, 360 Degree 2.4GHz Home Camera for Baby/Dog/Elder with One-Touch Call, Night Vision, 2-Way Audio, AI Motion Detection, Local/Cloud Storage, White（2-Pack）",Electronics,Cameras and photography equipment,69.99,4896,"https://m.media-amazon.com/images/I/61zspHFD-dL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71QKBj3aPFL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71bIcrHqBEL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/714emsJU3iL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71IRS5p3DTL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71IESV5Je3L._AC_SX466_.jpg"
"LG UltraGear QHD 34-Inch Curved Gaming Monitor 34GP63A-B, VA with HDR 10 Compatibility and AMD FreeSync Premium, 160Hz, Black",Electronics,Home entertainment systems,399.99,356,"https://m.media-amazon.com/images/I/81soN3bwVFL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/81rd+-n8L1L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81G+kmQ6q9L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61-GigiPaOL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/51cTTTqK1lL._AC_SX466_.jpg"
"ASUS VG248QG 24"" G-SYNC Gaming Monitor 165Hz 1080p 0.5ms Eye Care with DP HDMI DVI,Black",Electronics,Home entertainment systems,198,152,"https://m.media-amazon.com/images/I/811fyhOgYML.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/81h1t4CTA+L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81JlCbi7etL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/51wOeKNTwbL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81328q3xE9L._AC_SX466_.jpg"
"Amazon Fire TV 32"" 2-Series HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",Electronics,Home entertainment systems,129.99,656,"https://m.media-amazon.com/images/I/61CO+jrHHjL._AC_SY300_SX300_.jpg, https://m.media-amazon.com/images/I/418UoVylqyL._AC_.jpg, https://m.media-amazon.com/images/I/71pw54JjltL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51IFbI89voL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51s+j+eL4rL._AC_SX679_.jpg"
"VIZIO 40-inch Full HD 1080p Smart TV with DTS Virtual: X, Alexa Compatibility, Chromecast Built-in, Bluetooth Headphone Capable, (VFD40M-08 New)",Electronics,Home entertainment systems,169.99,365,"https://m.media-amazon.com/images/I/81R3dLptKcL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71-i0T9WWBL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81bEVZ7faLL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81m3gZPKznL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61b4JyydJHL._AC_SX466_.jpg"
"TCL 55-Inch Class S5 UHD 4K LED Smart TV with Fire TV (55S551F, 2024 Model), Dolby Vision, HDR PRO+, Dolby Atmos, Alexa Built-in with Voice Remote, Apple AirPlay 2",Electronics,Home entertainment systems,279.99,565,"https://m.media-amazon.com/images/I/71a2MMuJ24L.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/810dRcKrDIL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71Vx9NQgAlL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81mupTSetnL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81zozVZ4BKL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/819AijZQtGL._AC_SX466_.jpg"
"SAMSUNG 43-Inch Class Crystal UHD 4K DU7200 Series HDR Smart TV w/Object Tracking Sound Lite, PurColor, Motion Xcelerator, Mega Contrast, Q-Symphony",Electronics,Home entertainment systems,299.99,456,"https://m.media-amazon.com/images/I/71O5nf39wSL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/81aEKytw6GL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71ZWySbJ+3L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71vF9d5frUL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71SHcXAkw5L._AC_SX466_.jpg"
"VIZIO 32 inch D-Series HD 720p Smart TV with Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D32h-J, 2022 Model",Electronics,Home entertainment systems,128,4362,"https://m.media-amazon.com/images/I/81qFhtzh5KL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71Lk8dZeaeL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81djoWpVnKL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81RhSSvyY7L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81C5P93GHVL._AC_SX466_.jpg"
"Hisense 40-Inch Class A4 Series FHD 1080p Google Smart TV (40A4K) - DTS Virtual: X, Game & Sports Modes, Chromecast Built-in, Alexa Compatibility, Black",Electronics,Home entertainment systems,148,3266,"https://m.media-amazon.com/images/I/71vd0UkOYOL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/81u+8SVbrxL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/91jABC6A8PL._AC_SY741_.jpg, https://m.media-amazon.com/images/I/91sMHZOlwXL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81OP73MGuFL._AC_SX466_.jpg"
Xbox Series S Fortnite and Rocket League Bundle - Includes Xbox Wireless Controller - Includes Fortnite & Rocket League Downloads - 10GB RAM 512GB SSD,Electronics,Home entertainment systems,399.9,626,"https://m.media-amazon.com/images/I/51cN7sQ3aQL._SX522_.jpg, https://m.media-amazon.com/images/I/51xJXDj32mL._SX522_.jpg, https://m.media-amazon.com/images/I/51bsVk0nZkL._SX522_.jpg"
"Xbox One S 1TB Console (Renewed), White",Electronics,Home entertainment systems,208.99,355,"https://m.media-amazon.com/images/I/612wQCy8x+L._SX522_.jpg, https://m.media-amazon.com/images/I/51J7qkVOezL._SX522_.jpg, https://m.media-amazon.com/images/I/61jkjQejpyL._SX522_.jpg, https://m.media-amazon.com/images/I/51gxoZMJ3PL._SX522_.jpg, https://m.media-amazon.com/images/I/51yQkquCiWL._SX522_.jpg"
"Xbox Core Wireless Gaming Controller – Astral Purple – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS",Electronics,Home entertainment systems,52.87,1452,"https://m.media-amazon.com/images/I/31HiOUAAH6L._SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/81YD4QLuHmL._SX522_.jpg, https://m.media-amazon.com/images/I/71iay4PecdL._SX522_.jpg, https://m.media-amazon.com/images/I/71YWiigjdvL._SX522_.jpg, https://m.media-amazon.com/images/I/81fe22ETkxL._SX522_.jpg"
